set;name;foil;ck;mkm;available;profit;profitpct
Tenth Edition;Puppeteer;FALSE;0,33;0,02;5;-0,31;-0,939393939
Theros;Mogis's Marauder;TRUE;0,33;0,02;12;-0,31;-0,939393939
Time Spiral;Magus of the Mirror;FALSE;0,33;0,02;8;-0,31;-0,939393939
Urza's Saga;Victimize;FALSE;0,33;0,02;4;-0,31;-0,939393939
Classic Sixth Edition;Stupor;FALSE;0,5;0,03;5;-0,47;-0,94
Champions of Kamigawa;Plains;TRUE;0,67;0,04;3;-0,63;-0,940298507
Champions of Kamigawa;Plains;TRUE;0,67;0,04;3;-0,63;-0,940298507
Champions of Kamigawa;Plains;TRUE;0,67;0,04;3;-0,63;-0,940298507
Champions of Kamigawa;Plains;TRUE;0,67;0,04;3;-0,63;-0,940298507
Dragons of Tarkir;Ancestral Statue;TRUE;0,67;0,04;5;-0,63;-0,940298507
Eternal Masters;Dismal Backwater;TRUE;0,67;0,04;8;-0,63;-0,940298507
Gatecrash;Boros Keyrune;TRUE;0,67;0,04;7;-0,63;-0,940298507
Kaladesh;Swamp;TRUE;0,67;0,04;9;-0,63;-0,940298507
Kaladesh;Swamp;TRUE;0,67;0,04;9;-0,63;-0,940298507
Kaladesh;Swamp;TRUE;0,67;0,04;9;-0,63;-0,940298507
Magic Origins;Thornbow Archer;TRUE;0,67;0,04;12;-0,63;-0,940298507
Aether Revolt;Reverse Engineer;TRUE;0,84;0,05;12;-0,79;-0,94047619
Amonkhet;Supernatural Stamina;TRUE;0,84;0,05;3;-0,79;-0,94047619
Battle for Zendikar;Oran-Rief Hydra;TRUE;0,84;0,05;8;-0,79;-0,94047619
Betrayers of Kamigawa;Shimmering Glasskite;TRUE;0,84;0,05;2;-0,79;-0,94047619
Born of the Gods;Raised by Wolves;TRUE;0,84;0,05;8;-0,79;-0,94047619
Commander 2014;Fire Diamond;FALSE;0,84;0,05;19;-0,79;-0,94047619
Commander 2015;Izzet Signet;FALSE;0,84;0,05;15;-0,79;-0,94047619
Conspiracy;Ajani's Sunstriker;TRUE;0,84;0,05;3;-0,79;-0,94047619
Conspiracy;Typhoid Rats;TRUE;0,84;0,05;10;-0,79;-0,94047619
Conspiracy: Take the Crown;Mnemonic Wall;TRUE;0,84;0,05;3;-0,79;-0,94047619
Dragons of Tarkir;Battle Mastery;TRUE;0,84;0,05;4;-0,79;-0,94047619
Dragons of Tarkir;Elusive Spellfist;TRUE;0,84;0,05;7;-0,79;-0,94047619
Eighth Edition;Star Compass;FALSE;0,84;0,05;15;-0,79;-0,94047619
Eldritch Moon;Blood Mist;TRUE;0,84;0,05;15;-0,79;-0,94047619
Eternal Masters;Llanowar Elves;TRUE;0,84;0,05;1;-0,79;-0,94047619
Future Sight;Infiltrator il-Kor;TRUE;0,84;0,05;4;-0,79;-0,94047619
Future Sight;Logic Knot;FALSE;0,84;0,05;20;-0,79;-0,94047619
Ixalan;Walk the Plank;FALSE;0,84;0,05;20;-0,79;-0,94047619
Kaladesh;Built to Smash;TRUE;0,84;0,05;4;-0,79;-0,94047619
Kaladesh;Gearseeker Serpent;TRUE;0,84;0,05;5;-0,79;-0,94047619
Kaladesh;Island;TRUE;0,84;0,05;5;-0,79;-0,94047619
Kaladesh;Island;TRUE;0,84;0,05;5;-0,79;-0,94047619
Kaladesh;Island;TRUE;0,84;0,05;5;-0,79;-0,94047619
Kaladesh;Minister of Inquiries;TRUE;0,84;0,05;3;-0,79;-0,94047619
Kaladesh;Night Market Lookout;TRUE;0,84;0,05;1;-0,79;-0,94047619
Khans of Tarkir;Dismal Backwater;TRUE;0,84;0,05;1;-0,79;-0,94047619
Khans of Tarkir;Island;TRUE;0,84;0,05;18;-0,79;-0,94047619
Khans of Tarkir;Island;TRUE;0,84;0,05;18;-0,79;-0,94047619
Khans of Tarkir;Island;TRUE;0,84;0,05;18;-0,79;-0,94047619
Khans of Tarkir;Island;TRUE;0,84;0,05;18;-0,79;-0,94047619
Khans of Tarkir;Trail of Mystery;TRUE;0,84;0,05;8;-0,79;-0,94047619
Lorwyn;Streambed Aquitects;TRUE;0,84;0,05;6;-0,79;-0,94047619
Mirrodin;Leonin Den-Guard;TRUE;0,84;0,05;5;-0,79;-0,94047619
Modern Masters 2015;Reassembling Skeleton;TRUE;0,84;0,05;3;-0,79;-0,94047619
Modern Masters 2015;Ulamog's Crusher;TRUE;0,84;0,05;12;-0,79;-0,94047619
Modern Masters 2017;Simic Signet;TRUE;0,84;0,05;12;-0,79;-0,94047619
Oath of the Gatewatch;Dimensional Infiltrator;TRUE;0,84;0,05;8;-0,79;-0,94047619
Odyssey;Childhood Horror;TRUE;0,84;0,05;8;-0,79;-0,94047619
Prophecy;Foil;FALSE;0,84;0,05;2;-0,79;-0,94047619
Ravnica: City of Guilds;Hammerfist Giant;TRUE;0,84;0,05;4;-0,79;-0,94047619
Rise of the Eldrazi;Caravan Escort;TRUE;0,84;0,05;9;-0,79;-0,94047619
Saviors of Kamigawa;Shinen of Life's Roar;TRUE;0,84;0,05;12;-0,79;-0,94047619
Seventh Edition;Spellbook;FALSE;0,84;0,05;1;-0,79;-0,94047619
Shadows over Innistrad;Bloodmad Vampire;TRUE;0,84;0,05;17;-0,79;-0,94047619
Shards of Alara;Bant Charm;FALSE;0,84;0,05;11;-0,79;-0,94047619
Tenth Edition;Spirit Link;FALSE;0,84;0,05;4;-0,79;-0,94047619
Planechase Anthology;Kilnspire District;FALSE;1,68;0,1;20;-1,58;-0,94047619
Mirrodin;Fiery Gambit;FALSE;2,36;0,14;8;-2,22;-0,940677966
Betrayers of Kamigawa;Yomiji, Who Bars the Way;FALSE;1,52;0,09;3;-1,43;-0,940789474
Commander 2013;Springjack Pasture;FALSE;1,52;0,09;8;-1,43;-0,940789474
Conspiracy;Plea for Power;FALSE;1,52;0,09;8;-1,43;-0,940789474
Eldritch Moon;Sigarda's Aid;FALSE;1,52;0,09;8;-1,43;-0,940789474
Ixalan;Revel in Riches;FALSE;1,52;0,09;3;-1,43;-0,940789474
Tempest;Capsize;FALSE;1,52;0,09;20;-1,43;-0,940789474
Scars of Mirrodin;Grafted Exoskeleton;TRUE;7,61;0,45;2;-7,16;-0,94086728
Amonkhet;Approach of the Second Sun;FALSE;2,95;0,17;8;-2,78;-0,942372881
Tenth Edition;Benalish Knight;TRUE;2,11;0,12;6;-1,99;-0,943127962
Commander Anthology;Darksteel Mutation;FALSE;1,26;0,07;4;-1,19;-0,944444444
Journey into Nyx;Magma Spray;TRUE;1,26;0,07;13;-1,19;-0,944444444
Amonkhet;Throne of the God-Pharaoh;TRUE;2,53;0,14;6;-2,39;-0,944664032
Dragons of Tarkir;Island;TRUE;2,53;0,14;6;-2,39;-0,944664032
Dragons of Tarkir;Island;TRUE;2,53;0,14;6;-2,39;-0,944664032
Dragons of Tarkir;Island;TRUE;2,53;0,14;6;-2,39;-0,944664032
Shadowmoor;Tatterkite;TRUE;2,53;0,14;1;-2,39;-0,944664032
Shards of Alara;Spearbreaker Behemoth;FALSE;2,53;0,14;8;-2,39;-0,944664032
Theros;Forest;TRUE;2,53;0,14;7;-2,39;-0,944664032
Theros;Forest;TRUE;2,53;0,14;7;-2,39;-0,944664032
Theros;Forest;TRUE;2,53;0,14;7;-2,39;-0,944664032
Theros;Forest;TRUE;2,53;0,14;7;-2,39;-0,944664032
Commander 2014;Pongify;FALSE;2,36;0,13;3;-2,23;-0,944915254
Commander 2016;Kynaios and Tiro of Meletis;FALSE;1,09;0,06;8;-1,03;-0,944954128
Dragon's Maze;Notion Thief;FALSE;1,09;0,06;8;-1,03;-0,944954128
Return to Ravnica;Corpsejack Menace;FALSE;1,09;0,06;8;-1,03;-0,944954128
Betrayers of Kamigawa;Floodbringer;TRUE;1,68;0,09;5;-1,59;-0,946428571
Commander 2011;Numot, the Devastator;FALSE;1,68;0,09;8;-1,59;-0,946428571
Conspiracy;Quag Vampires;TRUE;1,68;0,09;2;-1,59;-0,946428571
Future Sight;Lumithread Field;TRUE;1,68;0,09;4;-1,59;-0,946428571
Kaladesh;Aerial Responder;TRUE;1,68;0,09;4;-1,59;-0,946428571
Kaladesh;Blossoming Defense;FALSE;1,68;0,09;20;-1,59;-0,946428571
Morningtide;Sage of Fables;FALSE;1,68;0,09;20;-1,59;-0,946428571
Planar Chaos;Vorosh, the Hunter;FALSE;1,68;0,09;2;-1,59;-0,946428571
Planechase Anthology;Onakke Catacomb;FALSE;1,68;0,09;20;-1,59;-0,946428571
Shadows over Innistrad;Eerie Interlude;TRUE;1,68;0,09;8;-1,59;-0,946428571
Time Spiral;Demonic Collusion;FALSE;1,68;0,09;8;-1,59;-0,946428571
Time Spiral;Magus of the Candelabra;FALSE;1,68;0,09;4;-1,59;-0,946428571
Zendikar;Sadistic Sacrament;FALSE;1,68;0,09;8;-1,59;-0,946428571
Champions of Kamigawa;Seizan, Perverter of Truth;FALSE;3,38;0,18;8;-3,2;-0,946745562
Conspiracy;Unquestioned Authority;TRUE;3,38;0,18;6;-3,2;-0,946745562
Coldsnap;Martyr of Sands;FALSE;1,52;0,08;12;-1,44;-0,947368421
Commander 2011;Vorosh, the Hunter;FALSE;1,52;0,08;8;-1,44;-0,947368421
Ravnica: City of Guilds;Grozoth;FALSE;1,52;0,08;8;-1,44;-0,947368421
Amonkhet;Evolving Wilds;TRUE;2,11;0,11;1;-2;-0,947867299
Conspiracy;Dream Fracture;TRUE;2,11;0,11;13;-2;-0,947867299
Dragons of Tarkir;Swamp;TRUE;2,11;0,11;1;-2;-0,947867299
Dragons of Tarkir;Swamp;TRUE;2,11;0,11;1;-2;-0,947867299
Dragons of Tarkir;Swamp;TRUE;2,11;0,11;1;-2;-0,947867299
Champions of Kamigawa;Night Dealings;FALSE;0,58;0,03;7;-0,55;-0,948275862
Conspiracy;Sakura-Tribe Elder;FALSE;0,58;0,03;20;-0,55;-0,948275862
Duel Decks: Elspeth vs. Tezzeret;Contagion Clasp;FALSE;0,58;0,03;18;-0,55;-0,948275862
Ninth Edition;Fellwar Stone;FALSE;0,58;0,03;10;-0,55;-0,948275862
Ravnica: City of Guilds;Pariah's Shield;FALSE;3,38;0,17;8;-3,21;-0,949704142
Alara Reborn;Anathemancer;FALSE;0,41;0,02;11;-0,39;-0,951219512
Alara Reborn;Slave of Bolas;FALSE;0,41;0,02;20;-0,39;-0,951219512
Amonkhet;Initiate's Companion;TRUE;0,41;0,02;6;-0,39;-0,951219512
Amonkhet;Ruthless Sniper;TRUE;0,41;0,02;8;-0,39;-0,951219512
Archenemy;Kazandu Refuge;FALSE;0,41;0,02;4;-0,39;-0,951219512
Avacyn Restored;Terrifying Presence;TRUE;0,41;0,02;8;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Island;FALSE;0,41;0,02;100;-0,39;-0,951219512
Battle for Zendikar;Ugin's Insight;TRUE;0,41;0,02;8;-0,39;-0,951219512
Battle for Zendikar;Zulaport Cutthroat;FALSE;0,41;0,02;20;-0,39;-0,951219512
Champions of Kamigawa;Nezumi Graverobber // Nighteyes the Desecrator;FALSE;0,41;0,02;10;-0,39;-0,951219512
Champions of Kamigawa;Samurai of the Pale Curtain;FALSE;0,41;0,02;8;-0,39;-0,951219512
Coldsnap;Balduvian Rage;FALSE;0,41;0,02;20;-0,39;-0,951219512
Coldsnap;Sound the Call;TRUE;0,41;0,02;8;-0,39;-0,951219512
Commander 2011;Fists of Ironwood;FALSE;0,41;0,02;11;-0,39;-0,951219512
Commander 2011;Penumbra Spider;FALSE;0,41;0,02;4;-0,39;-0,951219512
Commander 2011;Vow of Wildness;FALSE;0,41;0,02;20;-0,39;-0,951219512
Commander 2013;Naya Panorama;FALSE;0,41;0,02;14;-0,39;-0,951219512
Commander 2013;Roon of the Hidden Realm;FALSE;0,41;0,02;8;-0,39;-0,951219512
Commander 2013;Sydri, Galvanic Genius;FALSE;0,41;0,02;8;-0,39;-0,951219512
Commander 2014;Read the Bones;FALSE;0,41;0,02;14;-0,39;-0,951219512
Commander 2014;Temple of the False God;FALSE;0,41;0,02;20;-0,39;-0,951219512
Conspiracy;Treasonous Ogre;FALSE;0,41;0,02;20;-0,39;-0,951219512
Conspiracy: Take the Crown;Hymn of the Wilds;FALSE;0,41;0,02;8;-0,39;-0,951219512
Conspiracy: Take the Crown;Sovereign's Realm;FALSE;0,41;0,02;8;-0,39;-0,951219512
Duel Decks: Divine vs. Demonic;Abyssal Gatekeeper;FALSE;0,41;0,02;4;-0,39;-0,951219512
Duel Decks: Elspeth vs. Tezzeret;Everflowing Chalice;FALSE;0,41;0,02;1;-0,39;-0,951219512
Duel Decks: Elspeth vs. Tezzeret;Steel Wall;FALSE;0,41;0,02;6;-0,39;-0,951219512
Duel Decks: Elspeth vs. Tezzeret;Trinket Mage;FALSE;0,41;0,02;1;-0,39;-0,951219512
Duel Decks: Garruk vs. Liliana;Deathgreeter;FALSE;0,41;0,02;3;-0,39;-0,951219512
Duel Decks: Heroes vs. Monsters;Kavu Predator;FALSE;0,41;0,02;8;-0,39;-0,951219512
Duel Decks: Knights vs. Dragons;Kabira Vindicator;FALSE;0,41;0,02;8;-0,39;-0,951219512
Duel Decks: Knights vs. Dragons;Leonin Skyhunter;FALSE;0,41;0,02;1;-0,39;-0,951219512
Duel Decks: Knights vs. Dragons;Steward of Valeron;FALSE;0,41;0,02;4;-0,39;-0,951219512
Duel Decks: Phyrexia vs. the Coalition;Plains;FALSE;0,41;0,02;26;-0,39;-0,951219512
Duel Decks: Phyrexia vs. the Coalition;Rith's Charm;FALSE;0,41;0,02;10;-0,39;-0,951219512
Eternal Masters;Wind-Scarred Crag;TRUE;0,41;0,02;15;-0,39;-0,951219512
Future Sight;Haze of Rage;FALSE;0,41;0,02;20;-0,39;-0,951219512
Future Sight;Llanowar Mentor;FALSE;0,41;0,02;20;-0,39;-0,951219512
Future Sight;Shivan Sand-Mage;FALSE;0,41;0,02;17;-0,39;-0,951219512
Gatecrash;Vizkopa Guildmage;FALSE;0,41;0,02;14;-0,39;-0,951219512
Guildpact;Izzet Signet;FALSE;0,41;0,02;14;-0,39;-0,951219512
Innistrad;Caravan Vigil;TRUE;0,41;0,02;3;-0,39;-0,951219512
Ixalan;Kitesail Freebooter;FALSE;0,41;0,02;20;-0,39;-0,951219512
Judgment;Dwarven Driller;FALSE;0,41;0,02;11;-0,39;-0,951219512
Legions;Corpse Harvester;FALSE;0,41;0,02;3;-0,39;-0,951219512
Lorwyn;Inner-Flame Acolyte;TRUE;0,41;0,02;6;-0,39;-0,951219512
Magic 2014;Dragon Hatchling;TRUE;0,41;0,02;9;-0,39;-0,951219512
Magic 2014;Elixir of Immortality;FALSE;0,41;0,02;20;-0,39;-0,951219512
Mirrodin;Damping Matrix;FALSE;0,41;0,02;1;-0,39;-0,951219512
Mirrodin;Viridian Longbow;FALSE;0,41;0,02;20;-0,39;-0,951219512
Modern Masters;Stinkweed Imp;FALSE;0,41;0,02;20;-0,39;-0,951219512
Modern Masters 2017;Izzet Signet;FALSE;0,41;0,02;20;-0,39;-0,951219512
Morningtide;Cloak and Dagger;FALSE;0,41;0,02;11;-0,39;-0,951219512
Morningtide;Nevermaker;FALSE;0,41;0,02;20;-0,39;-0,951219512
New Phyrexia;Reaper of Sheoldred;FALSE;0,41;0,02;20;-0,39;-0,951219512
Oath of the Gatewatch;Reckless Bushwhacker;FALSE;0,41;0,02;20;-0,39;-0,951219512
Planechase 2012;Guard Gomazoa;FALSE;0,41;0,02;4;-0,39;-0,951219512
Planeshift;Dromar's Cavern;FALSE;0,41;0,02;1;-0,39;-0,951219512
Rise of the Eldrazi;Skittering Invasion;FALSE;0,41;0,02;20;-0,39;-0,951219512
Stronghold;Wall of Tears;FALSE;0,41;0,02;4;-0,39;-0,951219512
Tempest;Shadow Rift;FALSE;0,41;0,02;20;-0,39;-0,951219512
Time Spiral;Spirit Loop;FALSE;0,41;0,02;4;-0,39;-0,951219512
Worldwake;Everflowing Chalice;FALSE;0,41;0,02;20;-0,39;-0,951219512
Zendikar;Trailblazer's Boots;FALSE;0,41;0,02;20;-0,39;-0,951219512
Aether Revolt;Crackdown Construct;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Efficient Construction;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Gonti's Machinations;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Monstrous Onslaught;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Outland Boar;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Pacification Array;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Ravenous Intruder;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Reckless Racer;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Servo Schematic;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Siege Modification;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Sly Requisitioner;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Spire Patrol;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Submerged Boneyard;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Tezzeret's Touch;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Thopter Arrest;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Tranquil Expanse;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Treasure Keeper;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Vengeful Rebel;FALSE;0,21;0,01;20;-0,2;-0,952380952
Aether Revolt;Weldfast Engineer;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Drastic Revelation;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Flurry of Wings;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Giant Ambush Beetle;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Glassdust Hulk;FALSE;0,21;0,01;17;-0,2;-0,952380952
Alara Reborn;Illusory Demon;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Kathari Remnant;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Marisi's Twinclaws;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Marrow Chomper;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Morbid Bloom;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Sanity Gnawers;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Skyclaw Thrash;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Vengeful Rebirth;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alara Reborn;Winged Coatl;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alliances;Deadly Insect;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alliances;Deadly Insect;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alliances;Soldier of Fortune;FALSE;0,21;0,01;11;-0,2;-0,952380952
Alliances;Storm Crow;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alliances;Storm Crow;FALSE;0,21;0,01;20;-0,2;-0,952380952
Alliances;Undergrowth;FALSE;0,21;0,01;18;-0,2;-0,952380952
Alliances;Undergrowth;FALSE;0,21;0,01;18;-0,2;-0,952380952
Amonkhet;Aven Wind Guide;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Devoted Crop-Mate;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Embalmer's Tools;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Flameblade Adept;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Graceful Cat;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Grasping Dunes;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Hapatra's Mark;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Hazoret's Monument;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Highland Lake;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Honored Crop-Captain;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Reduce // Rubble;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Rhonas's Monument;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Shadowstorm Vizier;FALSE;0,21;0,01;20;-0,2;-0,952380952
Amonkhet;Trial of Zeal;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Ana Disciple;FALSE;0,21;0,01;17;-0,2;-0,952380952
Apocalypse;Bloodfire Dwarf;FALSE;0,21;0,01;8;-0,2;-0,952380952
Apocalypse;Coalition Honor Guard;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Consume Strength;FALSE;0,21;0,01;15;-0,2;-0,952380952
Apocalypse;Divine Light;FALSE;0,21;0,01;15;-0,2;-0,952380952
Apocalypse;Ebony Treefolk;FALSE;0,21;0,01;4;-0,2;-0,952380952
Apocalypse;Living Airship;FALSE;0,21;0,01;16;-0,2;-0,952380952
Apocalypse;Minotaur Tactician;FALSE;0,21;0,01;12;-0,2;-0,952380952
Apocalypse;Orim's Thunder;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Putrid Warrior;FALSE;0,21;0,01;16;-0,2;-0,952380952
Apocalypse;Raka Disciple;FALSE;0,21;0,01;12;-0,2;-0,952380952
Apocalypse;Reef Shaman;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Savage Gorilla;FALSE;0,21;0,01;14;-0,2;-0,952380952
Apocalypse;Shield of Duty and Reason;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Smash;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Soul Link;FALSE;0,21;0,01;20;-0,2;-0,952380952
Apocalypse;Tranquil Path;FALSE;0,21;0,01;17;-0,2;-0,952380952
Avacyn Restored;Banishing Stroke;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Battle Hymn;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Blessings of Nature;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Bower Passage;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Cathedral Sanctifier;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Dangerous Wager;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Devout Chaplain;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Goldnight Redeemer;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Holy Justiciar;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Into the Void;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Kessig Malcontents;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Latch Seeker;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Lightning Prowess;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Maalfeld Twins;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Rush of Blood;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Seraph of Dawn;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Tandem Lookout;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Tormentor's Trident;FALSE;0,21;0,01;20;-0,2;-0,952380952
Avacyn Restored;Triumph of Cruelty;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Barrage Tyrant;FALSE;0,21;0,01;8;-0,2;-0,952380952
Battle for Zendikar;Blighted Fen;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Blighted Woodland;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Breaker of Armies;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Catacomb Sifter;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Horribly Awry;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Prism Array;FALSE;0,21;0,01;8;-0,2;-0,952380952
Battle for Zendikar;Retreat to Coralhelm;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Retreat to Kazandu;FALSE;0,21;0,01;20;-0,2;-0,952380952
Battle for Zendikar;Titan's Presence;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Akki Blizzard-Herder;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Bile Urchin;FALSE;0,21;0,01;14;-0,2;-0,952380952
Betrayers of Kamigawa;Cunning Bandit // Azamuki, Treachery Incarnate;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Hired Muscle // Scarmaker;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Jetting Glasskite;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Kaijin of the Vanishing Touch;FALSE;0,21;0,01;18;-0,2;-0,952380952
Betrayers of Kamigawa;Kitsune Palliator;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Lifespinner;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Mark of the Oni;FALSE;0,21;0,01;17;-0,2;-0,952380952
Betrayers of Kamigawa;Nezumi Shadow-Watcher;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Overblaze;FALSE;0,21;0,01;12;-0,2;-0,952380952
Betrayers of Kamigawa;Split-Tail Miko;FALSE;0,21;0,01;20;-0,2;-0,952380952
Betrayers of Kamigawa;Veil of Secrecy;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Aerie Worshippers;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Akroan Conscriptor;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Ashiok's Adept;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Everflame Eidolon;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Fanatic of Xenagos;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Flitterstep Eidolon;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Ghostblade Eidolon;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Glimpse the Sun God;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Graverobber Spider;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Meletis Astronomer;FALSE;0,21;0,01;20;-0,2;-0,952380952
Born of the Gods;Oracle's Insight;FALSE;0,21;0,01;20;-0,2;-0,952380952
